TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2091342	AT3G28030	AT3G28030.1	protein_coding	Required for repair of pyrimidine-pyrimidinone (6-4) dimers. The mRNA is cell-to-cell mobile.	ULTRAVIOLET HYPERSENSITIVE 3; UV REPAIR DEFECTIVE 1; UVH3; UVR1	 nucleus, 5'-flap endonuclease activity, DNA binding, DNA repair, cell-to-cell mobile RNA, collective leaf structure, crossover junction endodeoxyribonuclease activity, endonuclease activity, flap endonuclease activity, guard cell, non-photoreactive DNA repair, nucleotide-excision repair, nucleus, plant embryo cotyledonary stage, protein binding, response to UV-B, response to heat, seed, single-stranded DNA binding, stem	true
Gene:2174496	AT5G57560	AT5G57560.1	protein_coding	Encodes a cell wall-modifying enzyme, rapidly upregulated in response to environmental stimuli.	ATXTH22; TCH4; TOUCH 4; XTH22; XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 22	 Golgi apparatus, chloroplast, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell wall, cell wall biogenesis, cellular response to hypoxia, chloroplast, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hydrolase activity, hydrolyzing O-glycosyl compounds, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant ovule, plant-type cell wall organization, pollen, response to auxin, response to brassinosteroid, response to cold, response to cyclopentenone, response to heat, response to mechanical stimulus, root, rosette leaf, secretory vesicle, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, xyloglucan metabolic process, xyloglucan:xyloglucosyl transferase activity	true
Gene:4010711692	AT1G07890	AT1G07890.7	protein_coding	Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress. The mRNA is cell-to-cell mobile.	APX1; ASCORBATE PEROXIDASE 1; ATAPX01; ATAPX1; CS1; MATERNAL EFFECT EMBRYO ARREST 6; MEE6	 Golgi apparatus, chloroplast, cytoplasm, cytosol, plasma membrane, plasmodesma, cotyledon, root, vascular leaf, cultured plant cell, seedling development stage, Golgi apparatus, L-ascorbate peroxidase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cell wall, cell-to-cell mobile RNA, cellular response to oxidative stress, chloroplast, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, embryo development ending in seed dormancy, extracellular region, flower, flower pedicel, flowering stage, fruit, guard cell, heme binding, hydrogen peroxide catabolic process, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lignin biosynthetic process, mature plant embryo stage, oxidation-reduction process, p-coumarate 3-hydroxylase activity, peroxidase activity, petal, petal differentiation and expansion stage, petiole, phenylpropanoid biosynthetic process, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, pollen tube cell, protein binding, response to cadmium ion, response to heat, response to oxidative stress, response to reactive oxygen species, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage, vascular system	true
Gene:5019474210	AT3G03773	AT3G03773.2	protein_coding	Encodes one of two isoforms of a co-chaperone of HSP90 that is required for root growth, in particular in the maintenance of the root meristem.  It can be phosphorylated in vitro by human and maize CK2.	P23-2	 chloroplast, Hsp90 protein binding, chaperone binding, chaperone cofactor-dependent protein refolding, chaperone complex, chaperone-mediated protein complex assembly, chloroplast, cytoplasm, cytosol, guard cell, negative regulation of cytokinin-activated signaling pathway, nucleus, positive regulation of gene expression, protein folding, regulation of auxin polar transport, response to heat, root meristem growth	true
Gene:6532559302	AT1G28520	AT1G28520.5	protein_coding	VOZ transcription factor which acts as positive regulator of several salt-responsive genes. Functionally redundant in salt stress with VOZ2.		 LP.04 four leaves visible stage, carpel, cauline leaf, cold acclimation, collective leaf structure, cotyledon, defense response to bacterium, incompatible interaction, filament, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, long-day photoperiodism, flowering, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, phloem, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, positive regulation of long-day photoperiodism, flowering, positive regulation of transcription, DNA-templated, protein binding, regulation of transcription, DNA-templated, response to heat, response to salt stress, response to water deprivation, root, seed, sepal, sequence-specific DNA binding, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2036103	AT1G09090	AT1G09090.1	protein_coding	NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB-ß mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds.	ATRBOHB; ATRBOHB-BETA; RBOHB; RESPIRATORY BURST OXIDASE HOMOLOG B	 plasma membrane, NAD(P)H oxidase (H(2)O(2)-forming activity, calcium ion binding, defense response, endosperm, oxidation-reduction process, peroxidase activity, plant embryo, plasma membrane, response to heat, root, seed germination, seed imbibition stage	true
Gene:2130738	AT4G17230	AT4G17230.1	protein_coding	Encodes a scarecrow-like protein (SCL13). Member of GRAS gene family. Regulated by heat shock.	SCARECROW-LIKE 13; SCL13	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to hypoxia, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, regulation of transcription, DNA-templated, response to chitin, response to heat, root, seed, sepal, sequence-specific DNA binding, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:3687953	AT1G79930	AT1G79930.1	protein_coding	encodes high molecular weight heat shock protein 70 not a HSP90 homolog, mRNA is constitutively expressed but transiently induced after heat shock	ATHSP70-14; HEAT SHOCK PROTEIN 91; HSP91	 cytosol, nucleus, plasma membrane, response to cadmium ion, fruit, seed, cotyledon, vascular leaf, cultured plant cell, seedling development stage, ATP binding, cotyledon, cultured plant cell, cytoplasm, cytosol, fruit, guard cell, mitochondrion, nucleus, plasma membrane, protein binding, response to cadmium ion, response to heat, rosette leaf, seed, seedling development stage, vascular leaf	true
Gene:2123707	AT4G28140	AT4G28140.1	protein_coding	encodes a member of the DREB subfamily A-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 8 members in this subfamily including RAP2.4. Regulated by heat shock.	ERF54; ETHYLENE RESPONSIVE FACTOR54	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.06 six leaves visible stage, collective leaf structure, cotyledon, flower, flowering stage, guard cell, inflorescence meristem, metaxylem, nucleus, petal, petal differentiation and expansion stage, petiole, primary root differentiation zone, primary root elongation zone, primary root tip, protoxylem, regulation of transcription, DNA-templated, response to chitin, response to heat, root, root stele, sepal, stamen, stem, transcription regulatory region DNA binding, transcription regulatory region sequence-specific DNA binding, vascular leaf	true
Gene:2196188	AT1G14980	AT1G14980.1	protein_coding	Encodes mitochondrial-localized chaperonin 10 that complements the E.coli groES mutant. Its mRNA is upregulated in response to heat shock treatment and is expressed uniformly in various organs.	CHAPERONIN 10; CPN10	 cytoplasm, mitochondrion, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chaperone binding, chaperone cofactor-dependent protein refolding, collective leaf structure, copper ion binding, cotyledon, cytoplasm, cytosol, extracellular region, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, metal ion binding, mitochondrial matrix, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein folding, response to heat, root, rosette leaf, seed, seed germination stage, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:3440248	AT4G38630	AT4G38630.1	protein_coding	Regulatory particle non-ATPase subunit of the 26S proteasome with multiubiquitin-chain-binding capabilities	ATMCB1; MBP1; MCB1; MULTIUBIQUITIN CHAIN BINDING PROTEIN 1; MULTIUBIQUITIN-CHAIN-BINDING PROTEIN 1; REGULATORY PARTICLE NON-ATPASE 10; RPN10	 cytoplasm, seed, vascular leaf, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT proteasome assembly, NOT proteasome core complex assembly, carpel, cauline leaf, cellular response to DNA damage stimulus, collective leaf structure, cotyledon, cytoplasm, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf development, leaf lamina base, leaf senescence, mature plant embryo stage, nucleus, peptide receptor activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, pollen, pollen development, pollen tube cell, polyubiquitin modification-dependent protein binding, post-embryonic root development, proteasome assembly, proteasome complex, proteasome regulatory particle, base subcomplex, proteasome-mediated ubiquitin-dependent protein catabolic process, protein binding, protein catabolic process, regulation of seed germination, response to abscisic acid, response to auxin, response to cytokinin, response to heat, response to misfolded protein, response to salt stress, response to sucrose, root, root hair elongation, rosette leaf, seed, seed development stage, sepal, shoot apex, shoot system, stamen, stamen formation, stem, ubiquitin-dependent protein catabolic process, vascular leaf, vascular leaf senescent stage	true
Gene:3697927	AT3G02885	AT3G02885.1	protein_coding	GASA5, is involved in the regulation  of seedling thermotolerance.	GASA5; GAST1 PROTEIN HOMOLOG 5	 extracellular region, plasmodesma, LP.04 four leaves visible stage, extracellular region, flower, flowering stage, heat acclimation, hypocotyl, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, plasmodesma, response to heat, response to salicylic acid, root, sepal, stamen, vascular leaf	true
Gene:1006229838	AT1G09090	AT1G09090.2	protein_coding	NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB-ß mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds.	ATRBOHB; RBOHB; RESPIRATORY BURST OXIDASE HOMOLOG B	 plasma membrane, NAD(P)H oxidase (H(2)O(2)-forming activity, calcium ion binding, defense response, endosperm, oxidation-reduction process, peroxidase activity, plant embryo, plasma membrane, response to heat, root, seed germination, seed imbibition stage	true
Gene:2045456	AT2G32120	AT2G32120.1	protein_coding	heat-shock protein 70T-2;(source:Araport11)	HEAT-SHOCK PROTEIN 70T-2; HSP70T-2	 cytoplasm, ATP binding, ATPase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, misfolded protein binding, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, protein folding, protein folding chaperone, protein refolding, response to heat, response to unfolded protein, root, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:1005715645	AT1G80030	AT1G80030.3	protein_coding	Molecular chaperone Hsp40/DnaJ family protein;(source:Araport11)	DJA7; DNA J PROTEIN A7	 chloroplast, chloroplast thylakoid membrane, ATP binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein folding, protein refolding, response to heat, root, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:3434612	AT1G13930	AT1G13930.1	protein_coding	Involved in response to salt stress.  Knockout mutants are hypersensitive to salt stress. The mRNA is cell-to-cell mobile.		 chloroplast, chloroplast stroma, plasma membrane, chloroplast envelope, response to cadmium ion, vascular leaf, juvenile vascular leaf, cultured plant cell, seedling development stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, epidermis, extracellular region, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, regulation of abscisic acid biosynthetic process, response to cadmium ion, response to heat, response to salt stress, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:3700305	AT3G63350	AT3G63350.1	protein_coding	member of Heat Stress Transcription Factor (Hsf) family	AT-HSFA7B; HEAT SHOCK TRANSCRIPTION FACTOR  A7B; HSFA7B	 nucleus, DNA-binding transcription factor activity, RNA polymerase II cis-regulatory region sequence-specific DNA binding, carpel, cellular response to heat, flower pedicel, flowering stage, host cell nucleus, nucleus, petal differentiation and expansion stage, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, regulation of transcription from RNA polymerase II promoter in response to stress, response to heat, root, sequence-specific DNA binding	true
Gene:6532556198	AT3G28030	AT3G28030.3	protein_coding	Required for repair of pyrimidine-pyrimidinone (6-4) dimers.The mRNA is cell-to-cell mobile.		 nucleus, 5'-flap endonuclease activity, DNA binding, DNA repair, cell-to-cell mobile RNA, collective leaf structure, crossover junction endodeoxyribonuclease activity, endonuclease activity, flap endonuclease activity, guard cell, non-photoreactive DNA repair, nucleotide-excision repair, nucleus, plant embryo cotyledonary stage, protein binding, response to UV-B, response to heat, seed, single-stranded DNA binding, stem	true
